name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Torpedo Reserve,dpl_torpedoreserve,5,,,,Weapons,5000,,TRUE,,0,0,0,0,data.hullmods.ExpandedMissileRacks,Special module for Flute phase submarines to reload torpedoes,"Increases missile weapon ammo, compatible with expanded missile racks.",,graphics/hullmods/dpl_torpedoreserve.png
Torpedo Cruiser Special Shields,dpl_tcsshieldemitter,5,,,,Shields,20000,,TRUE,,0,0,0,0,data.hullmods.dpl_TCSEmitter,Special shield module for Calliope and Hydraulis torpedo cruisers to survive under intense fire. Reduces damage taken by shields by %s.,Reduces damage taken by shields.,,graphics/hullmods/dpl_tcs_shields.png
Integrated Phase Coils,dpl_integratedcoils,5,,,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_IntegratedCoils,The integrated phase coil design reduces phase cooldown by %s.,Reduces phase cloak cooldown.,,graphics/hullmods/dpl_phase_coils_integrated.png
Gigantic Phase Cavity,dpl_giganticcavity,5,,,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_GiganticCavity,The gigantic phase cavity takes %s more time to cooldown than normal phase coils.,Extends phase cloak cooldown.,,graphics/hullmods/dpl_gigantic_cavity.png
Plasma Coupling,dpl_plasmacoupling,5,,,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_PlasmaCoupling,"The beam weapons on this ship are coupled with the plasma damage, resulting in dealing hard flux to shields.",Makes beam weapon deal hard flux.,,graphics/hullmods/dpl_plasma_coupling.png
Mega Positronium Linac,dpl_megalinac,5,,,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_Mega_Linac,The energy weapons on this ship has direct supplies of particles and energy from the mega positronium linac. Resulting in fire rate of energy weapons increased by %s,Makes energy weapon fire more frequently.,,graphics/hullmods/dpl_megalinac.png
Emergency Forge,dpl_emergency_forge,5,,,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_EmergencyForge,This ship has a special torus of phase cavities to store incredible amount of active nano particles. The nano particles can be released from the phase storage to do a one time rapid field repairs by reconstructing the ship using the nano particles. The hull would be fixed to %s of the max hull points. All flux would be released by throwing away the flux conductors and reconstruct new ones. And doing so would cost %s of max CR,Revives the ship with decreased hull integrity and CR for once.,,graphics/hullmods/dpl_emergency_forge.png
Energy Rangefinder,dpl_energy_rangefinder,2,,Domain Phase Lab,"offensive, merc, standard",Weapons,8000,,,,5,10,15,25,data.hullmods.dpl_EnergyRangefinder,<tooltip created in the script due to lots of highlighting>,Increases base range of small and medium weapons in energy slots.,,graphics/hullmods/dpl_energy_rangefinder.png
Phase Integration,dpl_phase_integration,5,,,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_PhaseIntegration,This ship is integrated with the phase space through the phase resonance achieved by a fractal phase coil. Reduces phase cooldown by %s. Reduces the phase cloak's activation cost to %s. Scales the soft flux dissipation and weapon recharge rate by factor of %s while phased.,Reduces phase cloak cooldown. Diminishes dissipation and increases phase time speed-up factor.,,graphics/hullmods/dpl_phase_integration.png
Phase Projection,dpl_phase_projection,5,,,,,,,TRUE,,0,0,0,0,data.hullmods.dpl_PhaseProjection,"This ship is the projection of some phase space entity. As long as the entity survives and the acausal path between the phase space and the physical space continues to exist. So this ship can always revive. 

**You heard a voice from deep void outside your vessel: Poor being, have you lost your soul in chasing for the power? You may used your power to capture this poor projection from the existence of my wrath, but no, my vengeance for the lost souls in your saturate bomb shall not, not ever be aside with you. But please, please come back, captain, if your soul is still alive and can hear, I forgot my name, and I'm about to disappear, but I remembered you, and I must leave my last words. Even if it's already too late, if you were in this situation, you must have some ways to save us all. What happened broke my heart, it must have been some ghost of madness that took control of your body, and I must save you by destroying that evil existence, please forgive me, and continue your jour...** The voice dies down.",Revives the ship.,,graphics/hullmods/dpl_phase_projection.png
